Vodafone Idea Ltd,9.65,10.2,9.9,10.5,4.55,16.8,10.25,11.5,2022-02-25 11:09:55,0.5499999999999989,5.699481865284963,True,IN,INR
Steel Authority of India Limited,85.0,91.9,88.4,91.9,67.1,151.3,91.6,130,2022-02-25 11:09:58,6.900000000000006,8.117647058823536,True,IN,INR
Birlasoft Ltd,382.2,406.0,397.2,411.0,215.9,585.85,406.7,500,2022-02-25 11:09:58,23.80000000000001,6.22710622710623,True,IN,INR
Trident Ltd,50.15,51.15,47.65,52.0,13.1,70.35,51.05,70,2022-02-25 11:10:00,1.0,1.9940179461615155,True,IN,INR
KPIT Technologies Ltd,543.35,566.55,554.1,588.0,135.2,801.0,563.2,700,2022-02-25 11:10:01,23.199999999999932,4.2698076746111955,True,IN,INR
Jubilant Ingrevia Ltd,461.75,487.6,477.35,495.8,241.3,838.75,487.65,700,2022-02-25 11:10:02,25.850000000000023,5.598267460747162,False,IN,INR
Infosys Ltd,1678.15,1709.9,1696.85,1728.15,1244.75,1953.9,1700,2000,2022-02-25 11:10:03,31.75,1.8919643655215563,False,IN,INR
Tata Power Company Limited,204.3,219.75,209.55,220.95,89.9,267.85,219.35,241.1,2022-02-25 11:10:05,15.449999999999989,7.562408223201168,True,IN,INR
Tata Motors Limited,427.95,460.25,441.6,465.7,268.45,536.7,459.65,510,2022-02-25 11:10:06,32.30000000000001,7.547610702184837,False,IN,INR
Coforge Ltd,4226.05,4455.95,4260.0,4475.0,2450.5,6135.0,4317,4759,2022-02-25 11:10:06,229.89999999999964,5.44006814874409,False,IN,INR
Bharti Airtel Limited,670.9,692.85,677.5,693.8,490.34,781.8,691.85,750,2022-02-25 11:10:07,21.950000000000045,3.2717245491131384,True,IN,INR
Coal India Ltd,150.0,157.8,152.25,157.95,123.4,203.8,157.2,170,2022-02-25 11:10:09,7.800000000000011,5.200000000000007,False,IN,INR
Hindustan Copper Ltd.,105.65,113.5,109.3,113.85,105.0,196.75,113.2,150,2022-02-25 11:10:10,7.849999999999994,7.430194036914334,False,IN,INR
Indian Oil Corporation Ltd,110.0,113.5,111.15,118.5,86.75,141.5,110,140,2022-02-25 11:10:11,3.5,3.1818181818181817,True,IN,INR
Oil & Natural Gas Corporation Limited,156.65,160.15,156.8,159.95,97.45,176.35,159.6,171.35,2022-02-25 11:10:12,3.5,2.234280242578998,True,IN,INR
Reliance Industries Ltd,2255.75,2299.2,2276.25,2307.95,1876.7,2751.35,2293.8,2450,2022-02-25 11:10:13,43.44999999999982,1.926188629059063,False,IN,INR
Affle (India) Ltd,1114.5,1172.9,1154.9,1177.85,763.02,1511.0,1170.0,1300,2022-02-25 11:10:15,58.40000000000009,5.240017945266944,False,IN,INR
Borosil Renewables Ltd,514.05,545.6,533.1,555.0,213.25,747.9,545.15,700,2022-02-25 11:10:15,31.550000000000068,6.137535259216043,False,IN,INR
Gail India,129.75,133.85,131.0,134.2,125.2,171.3,133.4,150,2022-02-25 11:10:16,4.099999999999994,3.159922928709052,True,IN,INR
Zomato Ltd,78.5,81.2,80.75,83.4,75.75,169.0,81.1,100,2022-02-25 11:10:17,2.700000000000003,3.439490445859876,False,IN,INR
Yes Bank Limited,12.6,13.15,12.85,13.35,10.5,16.9,13.15,14.05,2022-02-25 11:10:18,0.5500000000000007,4.365079365079371,True,IN,INR
Larsen & Toubro Limited,1757.35,1789.3,1770.65,1798.7,1306.0,2078.55,1788.45,1900,2022-02-25 11:10:20,31.950000000000045,1.8180783566164993,False,IN,INR
NTPC Limited,124.4,129.45,125.0,129.85,97.05,152.1,129.3,150,2022-02-25 11:10:21,5.049999999999983,4.05948553054661,False,IN,INR
ITC Ltd,208.5,215.15,210.55,215.4,199.1,265.3,215.05,270,2022-02-25 11:10:22,6.650000000000006,3.189448441247005,False,IN,INR
Apple Inc,160.07,162.74,152.0,162.85,116.21,182.94,160,180,2022-02-25 11:10:22,2.670000000000016,1.668020241144509,True,US,Dollar
Tesla Inc,764.04,800.77,700.0,802.48,539.49,1243.49,800,900,2022-02-25 11:10:24,36.73000000000002,4.8073399298466075,True,US,Dollar
Amazon Inc,2896.54,3027.16,2790.0,3034.98,2707.04,3773.08,2900,3200,2022-02-25 11:10:25,130.6199999999999,4.509518252811972,True,US,Dollar
Meta Platform(Facebook),178.24,177.22,169.08,177.72,169.08,324.8,160,190,2022-02-25 11:10:26,-1.0200000000000102,-0.5722621184919268,True,US,Dollar
Alphabet Inc,2551.76,2653.82,2499.07,2660.0,1990.23,3030.93,2590,3000,2022-02-25 11:10:27,102.05999999999995,3.9995924381603256,True,US,Dollar
